timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
399208405730,-1,-88,-12,-22,45,1,24,-4
399208405730,8,-20,1,-14,44,2,27,-18
399208406687,-1,62,-7,10,-5,4,-16,4
399208406687,-6,13,-10,9,-52,-9,-23,13
399208410114,-3,-53,-6,-8,6,-1,6,0
399208410114,2,-22,-13,-11,42,4,20,-17
399208411677,1,35,15,4,-14,-1,-5,-5
399208411677,-7,23,16,12,-46,-8,-24,13
399208417198,1,-42,-25,-11,10,0,6,2
399208417198,6,-34,-7,-27,45,4,23,-14
399208431894,3,43,19,24,-11,0,-8,-2
399208431894,-7,10,-1,7,-35,-4,-21,9
399208440889,0,-44,-15,-7,8,-1,6,-1
399208440889,2,-11,-11,-10,37,6,17,-10
399208446571,-1,51,18,-5,-30,-5,-13,-1
399208446571,-4,-4,8,25,-17,-2,-12,9
399208462971,0,-41,-6,-19,15,-2,13,-3
399208462971,2,1,-7,-6,20,4,6,-9
399208470098,-1,32,11,1,-26,-2,-11,1
399208470098,-3,-9,1,3,4,0,-5,5
399208478007,-2,-35,5,15,16,0,8,-5
399208478007,-1,-3,-20,-13,5,-1,2,-5
399208524655,-3,-88,-34,-18,13,-1,9,4
399208524655,5,-116,-44,-46,100,5,54,-22
399208525524,-1,59,-3,0,-5,1,-4,-7
399208525524,-4,100,59,41,-89,-7,-50,17
399208526447,-1,-47,-18,-3,1,-2,1,4
399208526447,2,-91,-35,-33,69,5,37,-14
399208528851,3,24,2,-2,15,3,9,-7
399208528851,-4,90,32,37,-72,-2,-41,12
399208537031,-2,-23,0,0,-21,-3,-8,7
399208537031,-1,-80,-29,-34,58,4,32,-9
399208543855,2,17,13,0,19,1,5,-10
399208543855,-6,80,-4,26,-65,-5,-38,13
399208551272,-3,-31,13,9,-13,-3,-4,6
399208551272,4,-72,-20,-29,57,1,32,-12
399208566328,-1,25,27,5,9,2,3,-6
399208566328,-5,57,-18,12,-56,-7,-30,10
399208574534,0,-22,6,-1,5,0,1,0
399208574534,-1,-43,-21,-26,40,1,21,-9
399208581397,1,29,7,10,-6,-3,-5,-3
399208581397,-1,34,28,11,-38,-2,-23,8
399208597084,-3,-3,-16,-3,3,0,4,-3
399208597084,1,-26,-8,-6,23,2,13,-5
399208603854,-2,10,-2,-10,-5,-4,-5,-2
399208603854,0,23,15,20,-21,-1,-9,6
399208611349,0,-22,2,-11,7,2,2,0
399208611349,0,-22,8,7,18,1,9,-4
399208626373,-2,8,-14,-6,-1,2,-2,-2
399208626373,-1,22,10,3,-18,-6,-14,1
399208634517,-4,-28,-28,-18,-11,-2,-2,-1
399208634517,4,-22,-14,-20,14,3,9,-2
399208641328,0,11,14,17,15,3,3,-2
399208641328,-3,16,5,-3,-19,-4,-9,3
399208657073,0,-13,-5,3,-1,-2,-2,-1
399208657073,2,-17,4,-5,11,0,4,-5
399208663885,0,4,-20,-11,-9,-2,-3,-1
399208663885,-3,14,5,6,-10,2,-6,5
399208671225,-3,-8,1,1,1,-2,0,-1
399208671225,0,-5,-7,-7,7,0,4,-5
399208686254,-1,15,6,2,-5,-1,-3,1
399208686254,-4,6,3,-3,-11,0,-3,1
399208693831,0,-4,6,26,9,0,0,1
399208693831,-1,-8,0,-5,8,0,1,-2
399208702703,-4,5,-6,-8,-10,-4,-2,-1
399208702703,-2,7,-2,11,2,2,-2,2
399208716974,3,-19,5,-5,-1,2,2,1
399208716974,-1,-8,-8,-2,1,0,0,-4
399208723877,0,15,-2,-1,-6,-3,-4,1
399208723877,-4,4,-4,-4,-9,-3,-4,0
399208731327,0,-18,-1,-7,0,-2,0,-4
399208731327,1,-12,-1,13,2,0,0,-1
399208746296,-2,20,6,-7,-4,1,0,-1
399208746296,-3,4,-3,-4,-1,-1,2,0
399208753801,2,-17,6,8,5,1,0,1
399208753801,1,-2,19,5,-2,0,-1,-3
399208762735,-3,18,-40,-7,-6,-2,-5,-1
399208762735,-2,-1,-1,-9,0,-1,0,0
399208776914,1,-13,1,19,15,1,1,-2
399208776914,1,-2,-12,-4,-3,-3,-3,-5
399208783865,0,14,0,0,-4,0,-1,0
399208783865,-2,0,25,1,-2,-2,0,-2
399208791353,0,-12,-7,-19,-4,-2,-1,-2
399208791353,2,-3,-3,-3,-6,-1,-3,-2
399208806388,-4,15,1,8,2,-3,-4,-2
399208806388,-5,-4,-31,-14,-1,-6,-1,-1
399208813875,-2,-13,10,-6,-1,-1,-1,-1
399208813875,-1,2,8,3,-9,-2,-2,0
399208822729,0,11,21,3,7,1,-2,1
399208822729,-3,-10,-35,-17,0,1,4,-4
399208837151,-2,-8,24,16,-1,-1,-2,-2
399208837151,2,6,0,-2,-8,-3,-7,1
399208843703,-2,7,-5,-7,-6,0,-2,1
399208843703,-1,-6,11,9,10,3,6,-1
399208851447,0,-7,-10,-14,0,1,1,-2
399208851447,-2,8,5,3,-7,0,-5,-1
399208867715,1,4,0,7,-3,-1,-3,-2
399208867715,-3,-4,-7,-12,4,-2,0,-3
399208898932,-2,-6,-5,-7,-1,-1,1,-2
399208898932,0,7,6,7,-7,-1,-4,2
399208900531,-1,5,6,5,-4,-3,-1,1
399208900531,1,-12,-18,-6,7,1,5,-3
399208901361,0,-3,-4,5,4,1,1,-3
399208901361,0,4,-1,1,-6,-1,-7,-1
399208905384,-1,1,-14,-7,-7,0,-2,1
399208905384,0,-8,5,4,5,-3,4,-2
399208911395,-1,-5,-9,-13,-2,-2,0,0
399208911395,4,4,20,16,-2,1,-4,1
399208926346,-2,3,-3,0,-3,0,-2,3
399208926346,-2,-7,-2,-5,8,-2,3,0
399208933751,-1,5,2,-5,-3,-5,-2,-2
399208933751,-2,6,1,5,-4,1,-4,1
399208948875,-1,-3,4,-3,-4,-1,0,0
399208948875,-1,-5,-2,0,6,-1,1,-3
399208957091,0,-3,20,3,5,3,0,-2
399208957091,-1,4,-20,-5,-15,-4,-6,-2
399208963869,0,2,0,6,3,-2,-2,0
399208963869,-1,-6,-3,-14,1,0,8,-2
399208971192,-2,-2,0,1,10,0,1,-2
399208971192,-1,3,2,4,-11,-1,-7,1
399208986358,0,-8,0,0,-4,0,-3,-1
399208986358,-2,-4,-1,-8,11,0,4,-2
399208993895,0,0,-19,-10,-2,-1,-2,-3
399208993895,0,6,-2,13,-10,-2,-6,-2
399209008666,-2,-9,-11,-13,-9,-4,-3,0
399209008666,3,-8,-1,10,10,0,3,-3
399209016899,-1,1,24,2,7,1,1,-4
399209016899,0,11,-1,-2,-7,-3,-6,0
399209023698,0,-8,1,5,-2,-1,0,1
399209023698,-5,-11,-10,-13,-1,-3,2,-2
399209031307,-2,-5,-17,1,3,1,0,-1
399209031307,-1,14,-1,-2,-11,-1,-5,-1
399209046296,-1,-4,9,2,0,-2,-2,-1
399209046296,1,-15,11,-5,9,0,4,-1
399209053840,0,-3,-22,4,-1,1,1,-3
399209053840,0,16,33,7,-7,0,-4,0
399209068879,-1,-3,-24,-9,-7,-2,-2,0
399209068879,-1,-13,-14,-12,11,-2,2,0
399209076980,1,3,8,-4,0,0,1,0
399209076980,-2,11,11,9,-4,1,-5,-1
399209083698,-2,-4,-17,8,-4,-3,-2,-2
399209083698,0,-20,4,-11,2,-2,3,-2
399209091283,2,3,2,0,-3,-2,-1,-2
399209091283,0,17,17,2,-10,-4,-5,1
399209106172,-3,-2,-5,4,7,4,-1,0
399209106172,-2,-16,-17,-2,10,2,1,-3
399209113842,0,1,15,-1,-3,-1,-3,-3
399209113842,-3,16,0,-5,-10,-1,-3,0
399209128698,-1,1,-1,-10,-9,-3,-4,1
399209128698,-1,-21,-1,9,5,-1,3,-3
399209136896,-3,-7,-27,-10,1,-2,-2,-3
399209136896,-1,26,8,16,-8,1,-9,1
399209144258,-1,1,5,-20,-7,0,-4,-3
399209144258,0,-32,-7,5,12,-1,6,0
399209159406,-1,-2,-4,-1,-3,2,-1,-1
399209159406,-2,25,-10,-1,-6,-2,-5,1
399209166408,0,-1,11,8,0,2,0,-2
399209166408,0,-29,-12,-2,3,-1,3,-2
399209173676,-1,2,37,13,8,-1,1,-3
399209173676,0,18,-37,-14,-11,-2,-4,1
399209188708,-3,-2,9,19,1,0,-2,0
399209188708,0,-27,13,-14,7,0,4,-3
399209196842,-3,-9,-23,-11,-1,-4,0,-1
399209196842,0,19,16,4,-8,0,-4,-1
399209203766,2,3,8,0,-6,-1,-3,3
399209203766,-2,-30,-32,-16,5,-2,2,-4
399209219481,0,-3,5,12,4,-1,3,0
399209219481,-1,19,1,-9,-7,1,-5,-1
399209226406,-1,5,-5,14,-6,0,-5,0
