timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
395801246829,-7,-5,2,-3,-2,0,-2,-8
395801246829,-6,0,5,-3,-4,0,-2,-6
395801247650,4,4,-9,1,1,-1,-1,3
395801247650,4,-1,-9,-3,0,1,0,3
395801248354,-1,-2,0,-1,0,0,0,-2
395801248354,-4,1,11,2,0,0,-2,-6
395801249129,2,8,2,3,1,1,-1,2
395801249129,4,-8,-7,-1,-1,0,0,2
395801259865,-3,-9,-3,-2,-1,-1,-1,-2
395801259865,-8,-6,2,-2,-3,-3,-2,-6
395801268684,0,10,0,0,1,-2,-1,0
395801268684,4,2,-5,2,0,0,-1,3
395801276294,-1,-2,0,-2,-2,-3,0,0
395801276294,-4,-3,1,-5,-2,-3,0,-4
395801290996,2,-6,-10,3,0,0,1,5
395801290996,-1,6,17,5,2,1,-1,-1
395801298483,1,1,0,-4,-2,1,0,0
395801298483,-7,-8,5,1,-2,-1,-2,-3
395801304852,0,2,-6,-6,-2,-2,-3,0
395801304852,0,1,-8,-1,-2,-2,-2,0
395801319908,-4,-1,5,-1,-1,0,-2,-4
395801319908,0,2,0,-2,-1,1,0,0
395801328500,-1,-6,-1,-1,-1,-2,-1,-2
395801328500,8,-5,-6,-1,1,0,0,2
395801367945,-8,-5,-2,-11,-5,0,-2,-6
395801367945,-7,0,26,9,2,-1,-1,-5
395801368932,4,5,-12,0,1,0,0,6
395801368932,7,7,-3,2,0,-1,-1,1
395801369595,-6,-4,7,-3,-2,0,-1,-4
395801369595,-6,0,-2,-8,-4,-1,-1,-5
395801372863,0,1,-6,-2,-1,-1,-1,1
395801372863,1,1,-10,0,1,-1,1,2
395801379709,-2,-2,1,2,0,-1,-2,-4
395801379709,-5,-3,2,-4,-4,-4,-2,-5
395801387273,3,0,-5,4,-2,-3,-1,2
395801387273,5,-1,-7,-2,0,0,2,7
395801396018,-2,4,-6,-3,-1,-1,0,-4
395801396018,-3,-9,15,-1,0,0,1,-4
395801410366,-2,-4,-3,-2,-1,-1,-1,-1
395801410366,2,0,-4,0,-1,0,-2,2
395801417206,-4,-9,0,-1,-3,-1,-2,-5
395801417206,-2,0,-4,-4,-1,-1,-3,-2
395801424735,3,-1,-1,0,-1,-2,0,2
395801424735,-2,-4,-3,-1,-1,0,-4,-3
395801439650,-1,4,10,7,1,0,0,-3
395801439650,-1,0,-13,-4,-3,-3,-1,-2
395801447160,1,1,15,2,3,1,-1,0
395801447160,0,4,-1,-1,-1,-2,0,1
395801456062,-2,-8,-1,-2,-3,-1,-3,-3
395801456062,-4,1,-5,-2,-2,-3,-2,-4
395801470200,-2,1,-6,-4,-2,-1,0,-1
395801470200,0,-8,-5,0,0,-1,-1,-1
395801477151,6,6,2,-2,-2,-2,0,0
395801477151,1,-1,0,-1,2,2,0,-1
395801484605,3,-2,-8,0,2,0,1,1
395801484605,-2,4,0,-2,0,2,1,-2
395801499655,-3,-3,-1,-2,-2,0,-1,-3
395801499655,-1,-4,-2,1,-2,-1,-1,-2
395801507014,3,10,1,0,-2,-2,-1,1
395801507014,1,-7,-6,0,-4,-1,0,0
395801516159,-5,-7,-5,-4,3,0,-3,-1
395801516159,1,1,2,-2,-3,-1,-1,1
395801530196,-2,-7,-6,-1,-2,-1,-1,-1
395801530196,0,0,4,1,-1,-2,0,1
395801537106,-3,3,-2,-3,-3,-1,0,-2
395801537106,-2,-3,-4,0,0,0,-1,-1
395801552943,2,-1,-1,2,0,0,-1,1
395801552943,-4,0,-8,-4,1,-2,-4,-5
395801559639,-2,7,20,4,0,0,-1,0
395801559639,-1,-14,2,3,2,0,0,0
395801567135,-2,13,-1,0,-2,-1,0,0
395801567135,-4,-3,-5,-3,-1,-1,-1,1
395801576091,-3,-12,-5,-3,-1,-2,0,-3
395801576091,-1,7,2,-3,-1,0,1,-1
395801590237,0,-8,-1,-2,-2,-1,-2,0
395801590237,-2,-2,-3,-2,-2,0,0,1
395801597072,-6,4,2,-6,-4,-3,0,-1
395801597072,-3,1,4,9,5,3,-2,-4
395801604483,3,11,-4,-2,1,2,0,1
395801604483,-3,-8,-1,-1,-1,-1,-1,-2
395801619648,0,3,-1,0,0,-1,0,-1
395801619648,-1,-1,-2,-8,-5,-4,-4,-1
395801627167,-2,-6,2,-2,-1,-1,-2,-2
395801627167,3,-4,-3,-2,0,0,0,-1
395801636034,0,-3,-4,-1,-1,0,-1,-2
395801636034,-2,0,-1,0,-1,1,-1,-5
395801650359,0,0,-2,1,1,0,0,-1
395801650359,-1,-1,2,-1,-4,-2,-2,1
395801657166,1,0,-5,1,0,1,-2,-1
395801657166,-2,4,2,-5,-1,-1,-1,1
395801664633,-3,-7,-3,-3,-1,-1,-1,-1
395801664633,0,-2,0,-1,1,-1,0,1
395801679702,-2,-1,2,0,0,0,-2,-3
395801679702,1,6,-9,-5,-2,-2,-1,1
395801687036,8,0,-7,0,0,-4,-4,-3
395801687036,-5,-6,13,-2,-1,-2,-1,-2
395801695979,1,-2,-2,5,1,-1,0,-1
395801695979,-2,-6,-6,-8,-4,-1,-1,2
395801710272,1,0,-1,1,0,-1,-2,-1
395801710272,1,8,-1,0,-1,0,-1,-1
395801717075,-3,-7,3,-1,-1,-2,-1,-2
395801717075,-2,4,-1,0,-1,0,0,-2
395801732938,-2,3,-4,-2,-1,0,-1,0
395801732938,2,-1,4,4,-1,-1,-1,-2
395801739588,-4,-2,-3,-4,-3,0,-2,-3
395801739588,2,5,1,1,0,-1,0,1
395801747198,-2,-3,0,-2,0,1,2,1
395801747198,1,-4,-2,-4,0,-1,-1,1
395801756053,3,-1,-13,-3,0,-2,-1,-2
395801756053,2,-3,18,7,2,2,0,-1
395801770401,-3,-9,-2,-1,-2,-1,1,-2
395801770401,-3,8,-4,-1,-3,-2,-1,-2
395801777187,2,-11,0,-2,-3,-1,0,0
395801777187,-1,4,-5,-1,-2,0,-1,-1
395801792855,-4,-5,0,0,0,2,-2,-1
395801792855,-1,5,2,1,0,-2,-2,-1
395801799741,6,-1,-6,-8,-2,-2,-1,0
395801799741,-3,7,1,5,-1,-3,-3,-5
395801807220,2,-1,0,-1,-1,1,-1,1
395801807220,-1,-21,-7,-1,-1,0,0,0
395801816032,1,14,5,0,1,1,0,0
395801816032,2,-3,-4,-6,-1,-1,-3,-2
395801830343,-7,3,-2,-1,0,-1,0,0
395801830343,0,1,-5,-2,0,1,0,-2
395801837147,-3,2,0,-3,0,-2,-1,0
395801837147,-1,1,10,5,0,0,1,1
395801852918,-1,-4,-8,-4,-2,-2,1,-1
395801852918,-1,-1,2,1,0,2,-1,-2
395801859742,-4,-2,4,5,0,0,-3,0
395801859742,-5,-5,-10,-4,-3,-2,-1,-1
395801866984,4,2,-11,-1,-2,-2,-2,-2
395801866984,-1,1,10,3,-2,-1,-2,-1
395801876180,-2,-9,1,-1,0,-3,0,1
395801876180,7,9,0,1,0,-3,-1,3
395801890182,-8,-15,0,0,-2,-1,-2,-4
395801890182,-1,8,-7,-2,-3,-1,0,-3
395801897206,-1,-2,1,0,0,1,0,-2
395801897206,-4,-8,-4,-1,0,0,-1,-2
395801912738,-2,0,-1,-2,-3,-3,-2,0
395801912738,-4,1,2,-1,-1,-2,-2,-5
395801919578,0,-3,-4,-3,-2,0,-1,0
395801919578,2,4,-1,-2,0,0,0,0
395801927201,0,0,8,4,-2,0,-2,-1
395801927201,0,-5,-4,-3,-2,-4,-1,1
395801936021,-2,8,-7,-6,-2,-1,-1,-2
395801936021,-2,-6,9,1,0,-1,-1,-2
395801950387,1,6,7,5,2,-1,-1,1
395801950387,-5,-5,-5,-7,-2,-2,-2,-3
395801957080,-1,13,-2,2,3,0,-2,-2
395801957080,3,-15,-10,-3,-3,0,1,2
395801972760,-4,-5,0,-2,-4,-4,-3,-3
395801972760,-1,5,-8,-3,-2,-1,0,0
395801986443,-4,-5,9,-2,-5,-3,-2,-2
395801986443,3,0,-6,1,2,1,2,0
395801987010,0,11,1,-2,1,2,0,-1
395801987010,0,-13,-5,-1,1,0,0,1
395801995982,0,4,0,0,-1,-2,1,-3
395801995982,-3,0,0,0,-2,-2,-1,0
395802011339,0,1,-1,-3,-1,0,0,-2
395802011339,1,-2,0,1,-1,0,-2,0
395802017138,-12,2,-2,3,1,1,-1,-1
395802017138,1,5,2,-7,-2,0,-2,0
395802032794,0,-11,1,1,1,0,-2,1
395802032794,0,10,3,2,1,0,0,0
395802039623,4,-6,-1,2,-1,1,3,1
395802039623,-3,-14,-8,-2,0,-1,-2,-2
395802047003,-3,6,-5,-4,-1,-1,-1,-2
395802047003,-1,1,2,-4,-3,-1,-1,-1
395802062085,-3,-2,2,1,1,-2,-1,-2
395802062085,-1,-4,-8,-3,-1,-2,-1,1
395802070206,0,-6,-2,-2,-2,-1,-2,-2
395802070206,-3,-7,-6,2,1,1,-1,-5
395802076989,2,-2,9,-1,0,1,-2,0
395802076989,1,6,-2,1,-2,0,0,0
395802092681,1,-5,-6,-1,-2,-1,1,0
395802092681,0,-6,1,-4,1,1,0,-1
395802099513,-8,6,-4,-1,-2,0,-1,-2
395802099513,0,-3,-2,1,4,3,-2,-3
395802107078,-1,-3,6,0,0,-1,-2,-1
395802107078,-5,8,-2,8,1,-1,0,-2
395802122248,2,-6,-3,-3,-1,1,-1,-1
395802122248,-2,4,-7,0,-1,-1,-1,2
395802130423,-1,10,4,-3,-1,-1,-1,0
395802130423,-1,-12,-1,-5,0,-2,-3,-1
395802137145,1,13,5,9,1,-1,2,1
395802137145,0,-22,0,0,-2,0,0,0
395802152824,-4,13,-4,-3,-1,-2,-2,-3
395802152824,-3,0,5,2,-1,-1,-1,-2
395802159669,1,-9,-6,-7,-1,-2,-1,0
395802159669,3,9,6,2,1,0,-2,-2
395802167191,0,-4,-2,1,2,0,0,2
395802167191,2,-5,6,5,0,1,1,0
395802182026,0,-2,-9,-5,-5,-3,-1,-2
395802182026,-4,8,-1,-2,0,-1,-1,0
395802190387,-1,0,4,1,-2,0,-1,-4
395802190387,1,10,2,-1,-3,1,-1,-1
395802197234,1,-10,-2,-2,-2,-2,-2,0
395802197234,-11,-3,-3,0,-1,-2,1,0
395802212787,-1,-2,-3,-3,-3,0,-1,-3
395802212787,4,1,-5,-3,-2,-3,-1,-4
395802219496,2,1,4,2,0,1,-1,0
395802219496,-3,-12,-11,-5,-2,-2,-1,-1
395802227123,1,-4,-1,2,0,0,-1,1
395802227123,-6,-15,0,-5,-5,-3,-2,-2
395802242132,-3,4,0,-1,-1,-3,-3,0
395802242132,7,10,3,-1,0,0,-1,1
395802250150,0,-8,5,8,1,-1,-1,1
395802250150,-4,-14,-2,2,1,-2,-3,-4
395802257008,0,-2,1,-2,-3,-3,0,-1
395802257008,-3,6,3,8,2,0,1,-2
395802272725,-5,-33,-10,-10,-5,-1,1,0
395802272725,0,16,-4,-1,1,0,0,-2
395802279586,-3,-16,15,11,4,-2,1,-1
395802279586,1,5,-1,-2,-1,0,-1,-2
395802287171,0,1,-2,-1,0,1,0,0
395802287171,3,3,-5,-5,-5,-2,0,3
395802302145,-5,0,-6,-3,0,-1,-2,1
395802302145,7,-10,2,-1,0,-3,-1,-3
395802310323,-7,2,1,5,0,-1,-2,-3
395802310323,7,2,1,-4,2,0,-1,-1
395802317132,2,5,-3,-5,-3,-1,-2,-1
395802317132,-1,-16,-5,-1,-3,-3,-1,0
395802332773,2,6,-4,-3,-1,-2,0,1
395802332773,-4,3,-5,-4,-2,-2,0,-2
395802339563,-2,6,16,6,0,-1,-1,-3
395802339563,-6,9,-4,-4,-3,-3,-1,-1
395802355228,5,-3,-4,-3,-3,-3,-2,-1
395802355228,-6,2,2,0,-1,-1,-1,-1
395802362008,3,0,-6,0,1,0,-1,-1
395802362008,-2,-14,-7,-7,0,1,-1,0
395802378367,1,3,3,6,2,1,-1,1
395802378367,-2,4,-3,-2,-3,-2,-1,-2
395802379988,2,-4,-7,-2,-2,0,0,1
395802379988,-2,8,7,-1,-2,-1,-3,-3
395802392873,3,-17,-4,-4,1,1,1,1
395802392873,-13,-8,5,3,0,-1,-3,-2
395802399710,3,5,-5,-1,-1,0,2,0
395802399710,-4,0,-4,-3,-1,0,1,0
395802415393,-7,3,6,1,-1,-1,-2,-1
395802415393,12,4,0,-2,-1,-3,-1,0
395802422193,-6,-8,-5,-5,-2,1,-1,-1
395802422193,2,-7,-14,-3,-3,-1,-1,1
395802438383,-4,10,9,1,-1,-1,1,-4
395802438383,-4,-10,-5,-1,1,1,0,0
395802439957,1,4,-4,-1,0,-3,1,1
395802439957,3,-5,1,-2,-3,-3,-1,0
395802452867,-1,16,-5,-2,-1,-1,0,0
395802452867,-2,-2,3,-1,0,-1,-1,0
395802459618,1,-3,0,2,0,-1,0,-1
395802459618,0,0,3,12,2,1,1,1
395802475247,0,-3,-3,-7,-2,1,0,0
395802475247,-4,1,1,1,-1,-1,-1,-3
395802482117,0,-3,-4,-6,-4,-1,-2,-3
395802482117,-2,1,2,1,0,-2,-2,-3
395802498600,2,-4,-4,-4,-2,0,-2,1
395802498600,7,8,1,-3,-1,-1,2,3
395802499987,-7,-16,-3,-1,-2,-2,-1,1
395802499987,5,7,0,1,0,1,-2,0
395802512665,0,-4,-2,0,-2,-3,-1,0
395802512665,-2,4,-2,-4,-3,-3,-2,-2
395802519592,2,0,1,1,-1,1,0,0
395802519592,1,7,1,1,-1,-1,-1,0
395802535277,-1,-21,-15,-5,-2,-1,0,-2
395802535277,-6,-11,10,-2,-1,-1,-1,-2
395802542022,-7,14,0,7,1,0,1,-3
395802542022,0,-12,-12,-5,-1,0,-1,1
395802558397,2,8,16,6,3,1,-1,-1
395802558397,-4,11,-7,5,3,0,0,-4
395802560149,-2,-10,3,0,2,-1,-2,0
395802560149,1,12,1,-1,-1,0,0,-2
395802572015,0,-1,-7,-6,-3,-1,-2,0
